"","Site","Software","Keypoint Image Scale","Depth Map Quality","Filtering Mode","Alt (m)","Speed (m/s)","Forward Overlap","Side Overlap","Photo Count","Ortho Size (MB)","PC Size (MB)","Total Generation Time (min)","PC Total Number","X Error (m)","Y Error (m)","Z Error (m)","Total Error (m)","Initial Proc. Time (min)","Point Cloud Densification (min)","Ortho Generation (min)"
"232","Kaibab_low","Pix4D","Eighth","Quarter","High",99,4,90,90,153,NA,73.52,19.77,11196058,0.115,"0.113",0.175,NA,2.86,16.91,22.22
"233","Kaibab_low","Pix4D","Eighth","Quarter","Low",99,4,90,90,153,NA,5.416,5.86,812229,0.115,"0.113",0.175,NA,2.86,3,19.46
"234","Kaibab_low","Pix4D","Eighth","Quarter","Optimal",99,4,90,90,153,NA,20.507,9.21,3108256,0.115,"0.113",0.175,NA,2.88,6.33,20.65
"235","Kaibab_low","Pix4D","Half","Eighth","High",99,4,90,90,153,NA,19.208,8.47,2914977,0.088,"8.8999999999999996E-2",0.142,NA,4.35,4.12,17.25
"236","Kaibab_low","Pix4D","Half","Eighth","Low",99,4,90,90,153,NA,1.488,6.21,218725,0.088,"8.8999999999999996E-2",0.142,NA,4.31,1.9,16.37
"237","Kaibab_low","Pix4D","Half","Eighth","Optimal",99,4,90,90,153,NA,5.453,7.3,818139,0.088,"8.8999999999999996E-2",0.142,NA,4.67,2.63,17.67
"238","Kaibab_low","Pix4D","Half","Half","High",99,4,90,90,153,NA,216.405,41.32,34888439,0.088,"8.8999999999999996E-2",0.142,NA,5.52,35.8,25.98
"239","Kaibab_low","Pix4D","Half","Half","Low",99,4,90,90,153,NA,15.884,7.93,2547782,0.088,"8.8999999999999996E-2",0.142,NA,4.23,3.7,16.25
"240","Kaibab_low","Pix4D","Half","Half","Optimal",99,4,90,90,153,NA,60.397,17.37,9653604,0.088,"8.8999999999999996E-2",0.142,NA,6.12,11.25,17.17
"241","Kaibab_low","Pix4D","Half","Original","High",99,4,90,90,153,NA,1339.514,268.8,209109262,0.088,"8.8999999999999996E-2",0.142,NA,5.37,263.43,37.2
"242","Kaibab_low","Pix4D","Half","Original","Low",99,4,90,90,153,NA,57.592,17.73,9588715,0.088,"8.8999999999999996E-2",0.142,NA,5.64,12.09,17.31
"243","Kaibab_low","Pix4D","Half","Original","Optimal",99,4,90,90,153,NA,200.228,42.25,33179626,0.088,"8.8999999999999996E-2",0.142,NA,5.54,36.71,29.41
"244","Kaibab_low","Pix4D","Half","Quarter","High",99,4,90,90,153,NA,76.372,18.65,11652060,0.088,"8.8999999999999996E-2",0.142,NA,4.43,14.22,18.63
"245","Kaibab_low","Pix4D","Half","Quarter","Low",99,4,90,90,153,NA,5.931,8.39,891448,0.088,"8.8999999999999996E-2",0.142,NA,5.91,2.48,18.71
"246","Kaibab_low","Pix4D","Half","Quarter","Optimal",99,4,90,90,153,NA,21.629,11.11,3282150,0.088,"8.8999999999999996E-2",0.142,NA,4.71,6.4,6.4
